City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kandiari,26.9156,68.5216,34.94,35,2,4.3,PK,1694313093
1,vilyuysk,63.7553,121.6247,2.82,92,100,2.35,RU,1694313093
2,albany,42.6001,-73.9662,22.04,89,100,1.34,US,1694313020
3,tiksi,71.6872,128.8694,3.73,66,28,2.46,RU,1694313038
4,plavsk,53.7094,37.2919,12.65,78,100,3.81,RU,1694313094
5,glace bay,46.1969,-59.957,20.61,95,75,4.12,CA,1694313094
6,kimovsk,53.9716,38.5319,12.89,76,92,4.99,RU,1694313095
7,adamstown,-25.066,-130.1015,21.17,88,99,4.82,PN,1694313044
8,afaahiti,-17.75,-149.2833,25.93,83,25,6.36,PF,1694313095
9,ancud,-41.8697,-73.8203,8.21,87,7,6.45,CL,1694313095
10,isafjordur,66.0755,-23.124,4.46,73,100,3.14,IS,1694313053
11,yellowknife,62.456,-114.3525,14.67,81,20,3.09,CA,1694312883
12,yichun,47.7,128.9,22.09,44,100,1.72,CN,1694313096
13,sao joao da barra,-21.6403,-41.0511,21.67,88,0,8.56,BR,1694313097
14,olonkinbyen,70.9221,-8.7187,2.72,66,99,7.89,SJ,1694313097
15,winnemucca,40.973,-117.7357,27.03,19,0,1.54,US,1694313098
16,agat village,13.3886,144.6585,31.52,74,40,4.12,GU,1694313098
17,baise city,23.8997,106.6133,29.89,76,23,0.66,CN,1694313098
18,vilyuchinsk,52.9306,158.4028,19.15,45,0,5.92,RU,1694313098
19,shakawe,-18.3667,21.85,17.49,25,0,1.92,BW,1694313100
20,port-aux-francais,-49.35,70.2167,1.15,72,56,19.59,TF,1694313025
21,puerto natales,-51.7236,-72.4875,3.94,92,100,1.23,CL,1694313037
22,bethel,41.3712,-73.414,24.45,86,100,0.0,US,1694313047
23,wuyang,31.9925,116.2472,30.8,51,35,3.43,CN,1694313103
24,timbuktu,16.7735,-3.0074,31.98,45,72,5.38,ML,1694313103
25,dunedin,-45.8742,170.5036,14.48,67,100,1.34,NZ,1694313075
26,whitehorse,60.7161,-135.0538,15.01,53,75,8.23,CA,1694313090
27,timimoun,29.2639,0.231,35.21,20,0,5.66,DZ,1694313104
28,nyeri,-0.4201,36.9476,13.71,95,91,1.25,KE,1694313104
29,georgetown,5.4112,100.3354,27.75,83,40,3.09,MY,1694313011
30,kete krachi,7.7939,-0.0498,23.45,91,33,2.27,GH,1694313105
31,turiacu,-1.6633,-45.3717,24.92,89,34,2.85,BR,1694313105
32,edinburgh of the seven seas,-37.0676,-12.3116,9.72,57,84,9.55,SH,1694313048
33,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,34,0,6.0,RU,1694313051
34,eagle pass,28.7091,-100.4995,32.47,36,0,4.05,US,1694312862
35,melo,-32.3667,-54.1833,8.56,88,21,3.52,UY,1694313107
36,margaret river,-33.95,115.0667,16.98,61,100,6.81,AU,1694313049
37,kavieng,-2.5744,150.7967,28.65,69,61,2.0,PG,1694313108
38,grytviken,-54.2811,-36.5092,-1.31,96,100,4.77,GS,1694313025
39,tagiura,32.8817,13.3506,25.32,69,0,4.25,LY,1694313109
40,new norfolk,-42.7826,147.0587,14.72,88,99,2.41,AU,1694313109
41,chonchi,-42.6128,-73.8092,9.51,89,66,3.3,CL,1694313092
42,malvan,16.0667,73.4667,27.16,84,100,5.06,IN,1694313109
43,tamandare,-8.7597,-35.1047,23.06,89,56,3.23,BR,1694312859
44,lalibela,12.0333,39.0333,15.01,62,88,1.44,ET,1694313111
45,west island,-12.1568,96.8225,25.99,69,47,6.69,CC,1694313033
46,gudari,19.35,83.7833,28.53,83,39,0.54,IN,1694313111
47,waitangi,-43.9535,-176.5597,12.12,84,100,2.24,NZ,1694313036
48,port alfred,-33.5906,26.891,17.32,88,67,2.68,ZA,1694313113
49,coquimbo,-29.9533,-71.3436,14.85,72,100,1.54,CL,1694313114
50,tura,25.5198,90.2201,28.7,76,70,0.82,IN,1694313040
51,puerto armuelles,8.2833,-82.8667,27.87,88,100,0.45,PA,1694313114
52,simpang,-1.2667,104.0833,30.47,63,70,2.42,ID,1694313115
53,ilulissat,69.2167,-51.1,2.01,69,95,5.14,GL,1694313115
54,bor,56.3567,44.0669,12.96,94,11,2.91,RU,1694313115
55,fernie,49.5,-115.0687,19.11,58,20,2.23,CA,1694313116
56,blackmans bay,-43.0167,147.3167,14.07,77,95,3.92,AU,1694313029
57,cavan,53.9908,-7.3606,14.77,98,50,0.78,IE,1694313116
58,bredasdorp,-34.5322,20.0403,9.48,92,76,2.95,ZA,1694313116
59,katsuren-haebaru,26.3369,127.8719,33.43,63,40,4.12,JP,1694313117
60,yung shue wan,22.2333,114.1167,26.85,92,100,0.45,HK,1694313117
61,tsiombe,-25.3,45.4833,20.08,72,0,2.55,MG,1694313117
62,thunder bay,48.4001,-89.3168,14.99,100,100,0.51,CA,1694312950
63,port mathurin,-19.6833,63.4167,22.53,70,18,6.76,MU,1694313118
64,malangali,-8.5667,34.85,13.47,78,7,4.06,TZ,1694313119
65,hawaiian paradise park,19.5933,-154.9731,28.73,70,40,3.09,US,1694313023
66,newman,37.3138,-121.0208,29.13,58,4,2.75,US,1694313119
67,mindelo,16.8901,-24.9804,26.75,78,40,7.72,CV,1694313040
68,port elizabeth,-33.918,25.5701,16.16,82,75,6.69,ZA,1694313024
69,vorgashor,67.5833,63.95,7.66,81,100,3.91,RU,1694313120
70,susuman,62.7833,148.1667,2.92,100,100,1.76,RU,1694313120
71,kailua-kona,19.6406,-155.9956,27.98,89,100,4.12,US,1694313012
72,pisco,-13.7,-76.2167,18.34,82,2,1.54,PE,1694313045
73,remire-montjoly,4.9167,-52.2667,24.02,94,20,1.03,GF,1694313121
74,skelleftea,64.7507,20.9528,17.2,100,100,3.6,SE,1694313121
75,katabu,-4.9333,122.5167,30.8,57,96,4.02,ID,1694313122
76,colonia,50.9333,6.95,21.09,91,0,1.03,DE,1694312999
77,iqaluit,63.7506,-68.5145,2.85,87,0,4.12,CA,1694313023
